IndividualRate,PlanId_2015,FIPSCode,RatingAreaId
280.66,16842FL0070102,12059,Rating Area 29
306.88,16842FL0070102,12061,Rating Area 30
282.68,16842FL0070102,12063,Rating Area 31
333.77,16842FL0070102,12065,Rating Area 32
312.25,16842FL0070102,12067,Rating Area 33
311.25,16842FL0070102,12069,Rating Area 34
344.52,16842FL0070102,12071,Rating Area 35
301.83,16842FL0070102,12073,Rating Area 36
291.41,16842FL0070102,12075,Rating Area 37
319.98,16842FL0070102,12077,Rating Area 38
298.14,16842FL0070102,12079,Rating Area 39
307.21,16842FL0070102,12081,Rating Area 40
293.77,16842FL0070102,12083,Rating Area 41
319.31,16842FL0070102,12085,Rating Area 42
390.23,16842FL0070102,12086,Rating Area 43
426.53,16842FL0070102,12087,Rating Area 44
350.23,16842FL0070102,12089,Rating Area 45
316.29,16842FL0070102,12091,Rating Area 46
341.16,16842FL0070102,12093,Rating Area 47
346.54,16842FL0070102,12095,Rating Area 48
346.2,16842FL0070102,12097,Rating Area 49
356.96,16842FL0070102,12099,Rating Area 50
334.1,16842FL0070102,12101,Rating Area 51
334.44,16842FL0070102,12103,Rating Area 52
381.49,16842FL0070102,12105,Rating Area 53
332.76,16842FL0070102,12107,Rating Area 54
357.63,16842FL0070102,12109,Rating Area 58
312.59,16842FL0070102,12111,Rating Area 59
320.32,16842FL0070102,12113,Rating Area 55
297.8,16842FL0070102,12115,Rating Area 56
358.64,16842FL0070102,12117,Rating Area 57
294.78,16842FL0070102,12119,Rating Area 60
303.18,16842FL0070102,12121,Rating Area 61
296.79,16842FL0070102,12123,Rating Area 62
299.48,16842FL0070102,12125,Rating Area 63
309.23,16842FL0070102,12127,Rating Area 64
329.73,16842FL0070102,12129,Rating Area 65
316.62,16842FL0070102,12131,Rating Area 66
298.47,16842FL0070102,12133,Rating Area 67
260.8,16842FL0070120,12001,Rating Area 1
295.39,16842FL0070120,12003,Rating Area 2
289.67,16842FL0070120,12005,Rating Area 3
237.33,16842FL0070120,12007,Rating Area 4
294.79,16842FL0070120,12009,Rating Area 5
339,16842FL0070120,12011,Rating Area 6
265.01,16842FL0070120,12013,Rating Area 7
267.41,16842FL0070120,12015,Rating Area 8
237.03,16842FL0070120,12017,Rating Area 9
296.59,16842FL0070120,12019,Rating Area 10
273.73,16842FL0070120,12021,Rating Area 11
274.93,16842FL0070120,12023,Rating Area 12
268.01,16842FL0070120,12029,Rating Area 14
296.29,16842FL0070120,12031,Rating Area 15
285.76,16842FL0070120,12033,Rating Area 16
305.31,16842FL0070120,12035,Rating Area 17
267.11,16842FL0070120,12037,Rating Area 18
302,16842FL0070120,12039,Rating Area 19
260.8,16842FL0070120,12041,Rating Area 20
280.65,16842FL0070120,12043,Rating Area 21
265.91,16842FL0070120,12045,Rating Area 22
257.49,16842FL0070120,12047,Rating Area 23
303.21,16842FL0070120,12049,Rating Area 24
283.96,16842FL0070120,12051,Rating Area 25
278.54,16842FL0070120,12053,Rating Area 26
294.48,16842FL0070120,12055,Rating Area 27
291.48,16842FL0070120,12057,Rating Area 28
251.17,16842FL0070120,12059,Rating Area 29
274.63,16842FL0070120,12061,Rating Area 30
252.97,16842FL0070120,12063,Rating Area 31
298.7,16842FL0070120,12065,Rating Area 32
279.44,16842FL0070120,12067,Rating Area 33
278.54,16842FL0070120,12069,Rating Area 34
308.32,16842FL0070120,12071,Rating Area 35
270.12,16842FL0070120,12073,Rating Area 36
260.8,16842FL0070120,12075,Rating Area 37
