BeginPrimaryCareCostSharingAfterNumberOfVisits,IsHSAEligible,IsNewPlan,IsReferralRequiredForSpecialist,NationalNetwork,OutOfServiceAreaCoverage,PlanType,StandardComponentId,StateCode
0,Yes,New,No,No,No,POS,34996NV0240001,NV
0,Yes,New,No,No,No,POS,34996NV0240001,NV
0,Yes,New,No,No,No,POS,34996NV0240003,NV
0,Yes,New,No,No,No,POS,34996NV0240003,NV
0,Yes,New,No,No,No,POS,34996NV0240003,NV
0,Yes,New,No,No,No,POS,34996NV0240003,NV
0,,Existing,,No,No,HMO,43126NV0110001,NV
0,,Existing,,No,No,HMO,43126NV0110003,NV
0,,Existing,,No,No,HMO,43126NV0120001,NV
0,,Existing,,No,No,HMO,43126NV0120003,NV
0,,New,,No,No,HMO,43126NV0150001,NV
0,,New,,No,No,HMO,43126NV0160001,NV
0,,New,,Yes,Yes,PPO,53694NV0040002,NV
0,,New,,Yes,Yes,PPO,53694NV0040002,NV
0,,New,,Yes,Yes,PPO,53694NV0060002,NV
0,,New,,Yes,Yes,PPO,53694NV0060002,NV
0,,Existing,,No,No,HMO,54199NV0010001,NV
0,,Existing,,No,No,HMO,54199NV0010001,NV
0,,Existing,,No,No,HMO,54199NV0010002,NV
0,,Existing,,No,No,HMO,54199NV0020002,NV
0,,Existing,,No,No,HMO,54199NV0020002,NV
0,,Existing,,No,No,HMO,54199NV0010002,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230022,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230022,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230022,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230022,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230021,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230021,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230021,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230021,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230019,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230019,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230019,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230019,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230023,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230023,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230023,NV
0,Yes,Existing,No,No,Yes,HMO,60156NV0230023,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230020,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230020,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230020,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230020,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230026,NV
0,No,Existing,No,No,Yes,HMO,60156NV0230026,NV
